,Song,Album Debut,Songwriter(s),Lead Vocal(s),Year,Lyrics
254,New York City,Some Time In New York City,Lennon,Lennon,1972,"Standing on the corner, just me and Yoko Ono We was waiting for Jerry to land Up come a man with a guitar in his hand Singing ""have a marijuana if you can"" His name was David Peel, we found that he was real He sang ""The Pope Smokes Dope Everyday"" Up come a police man shoved us up the street Singin, ""Power to the People today!""  New York City...New York City...New York City Que pasa New York?...Que pasa New York? Hey hey  Well down to Max's City Put down the nitty gritty with the Elephants Memory Band Laid something down as the news spread around About the Plastic Ono Elephants Memory Band! We played some funky boogie and laid some ""Tutti Frutti"" Singing ""Long Tall Sally's A man"" Up come a preacher man trying to be a teacher Singing ""God's a red herring in drag!""  New York City...New York City...New York City Que pasa New York?...Que pasa New York? Hey hey  Hey, New York City All right, New York City New York City Que pasa New York?...Que pasa New York? Hey hey  Well we did the Staten Island Ferry Making movies for the telly Played the Fillmore and Apollo for freedom Tried to shake our image Just a cycling through the Village But found that we had left it back in London Well nobody came to bug us, hustle us or shove us We decided to make it our home If the man wants to shove us out We gonna jump and shout The Statue of Liberty said ""Come!""  New York City...New York City...New York City Que pasa New York?...Que pasa New York? Hey hey  Hey New York City Back in New York City Hey New York City Que pasa New York?...Que pasa New York? Hey City Down in the Village Hey what a city Que pasa New York?...Que pasa New York? Hey walk on Yeah Que pasa New York?...Que pasa New York? Hey what a bad, bad city Bad-ass city Bad-ass city Que pasa New York?...Que pasa New York? Hey New York City"
255,Sunday Bloody Sunday,Some Time In New York City,Lennon,Lennon,1972,Well it was Sunday Bloody Sunday When they shot the people there The cries of thirteen martyrs Filled the free Derry air Is there any one amongst you Dare to blame it on the kids? Not a soldier boy was bleeding When they nailed the coffin lids!  Sunday bloody Sunday Bloody Sunday's the day!  You claim to be majority Well you know that it's a lie You're really a minority On this sweet Emerald Isle When Stormont bans our marchers They've got a lot to learn Internment is no answer It's those mothers' turn to burn!  Sunday bloody Sunday Bloody Sunday's the day!  Sunday bloody Sunday Bloody Sunday's the day!  You Anglo pigs and Scotties Sent to colonise the north You wave your bloody Union Jacks And you know what it's worth! How dare you hold to ransom A people proud and free Keep Ireland for the Irish Put the English back to sea!  Sunday bloody Sunday Bloody Sunday's the day!  Sunday bloody Sunday Bloody Sunday's the day!  Well it's always bloody Sunday In the concentration camps Keep Falls and roads free forever From the bloody English hands Repatriate to Britain All of you who call it home Leave Ireland to the Irish Not for London or for Rome!  Sunday bloody Sunday Bloody Sunday's the day! Sunday bloody Sunday Bloody Sunday's the day! Sunday bloody Sunday Bloody Sunday's the day! Sunday bloody Sunday Bloody Sunday's the day! Sunday bloody Sunday Bloody Sunday's the day! Sunday bloody Sunday Bloody Sunday's the day! Sunday bloody Sunday Bloody Sunday's the day!
256,The Luck Of The Irish,Some Time In New York City,Lennon,Lennon,1972,"If you had the luck of the Irish You'd be sorry and wish you were dead You should have the luck of the Irish And you'd wish you was English instead!  A thousand years of torture and hunger Drove the people away from their land A land full of beauty and wonder Was raped by the British brigands! Goddamn! Goddamn!  If you could keep voices like flowers There'd be shamrock all over the world If you could drink dreams like Irish streams Then the world would be high as the mountain of morn  In the 'Pool they told us the story How the English divided the land Of the pain, the death and the glory And the poets of auld Eireland  If we could make chains with the morning dew The world would be like Galway Bay Let's walk over rainbows like leprechauns The world would be one big Blarney stone  Why the hell are the English there anyway? As they kill with God on their side Blame it all on the kids the IRA As the bastards commit genocide! Aye! Aye! Genocide!  If you had the luck of the Irish You'd be sorry and wish you was dead You should have the luck of the Irish And you'd wish you was English instead! Yes you'd wish you was English instead!"
257,John Sinclair,Some Time In New York City,Lennon,Lennon,1972,"It ain't fair, John Sinclair In the stir of breathing air Won't you care for John Sinclair? In the stair of breathing air. Let him be, set him free Let him be like you and me.  They give him ten for two What else can the judges do? Gotta, gotta.....gotta, set him free.  If he had been a soldier man Shooting gooks in Vietnam If he was the CIA Selling dope and making hay He'd be free, they'd let him be Breatthing air, like you and me  They gave me ten for two What more can the judges do? Gotta, gotta....gottta set him freee.  Was he jailed for what he done?  Representing everyone Free john now, if we can From the clutches oof the man Let him free, lift the lid Bring him to his wife and kids. They gave me ten for two  What more can the bastards do? Gotta, gotta...gotta set him free..."
258,Angela,Some Time In New York City,Lennon,Lennon,1972,"Angela, they put you in prison Angela, they shot down your man Angela, you're one of the millions Of political prisoners in the world  Sister, there's the wind that never dies Sister, we're breathing together Sister, our loves and hopes forever keep On moving oh so slowly in the world  They gave you sunshine They gave you sea They gave you everything but the jailhouse key They gave you coffee They gave you tea They gave you everything but equality  Angela, can you hear the earth is turning? Angela, the world watches you Angela, you soon will be returning To your sisters and brothers in the world  Sister, you're still a people teacher Sister, your word reaches far Sister, there's a million different races But we all share the same future in the world  They gave you sunshine They gave you sea They gave you everything but the jailhouse key Hey they gave you coffee They gave you tea They gave you everything but equality  Angela, they put you in prison Angela, they shot down your man Angela, you're one of the millions Of political prisoners in the world"
259,We're All Water,Some Time In New York City,Lennon,Lennon,1972,"There may be not much difference Between Chairman Mao and Richard Nixon If we strip them naked  There may be not much difference Between Marylin Monroe and Lenny Bruce If we check their coffins  There may be not much difference Between White House and Hall of People If we count their windows  There may be not much difference Between Raquel Welch and Jerry Rubin If we hear their heartbeat  We are all water from different rivers That's why it's so easy to to meet We are all water in this vast, vast ocean Someday we'll evaporate together  There may be not much difference Between Eldridge Cleaver and Queen of England If we bottle their tears  There may be not much difference Between Manson and the Pope If we press their smile  There may be not much difference Between Rockefeller and you If we hear you sing  There may be not much difference Between you and me If we show our dreams  We are all water from different rivers That's why it's so easy to to meet We are all water in this vast, vast ocean Someday we'll evaporate together  Hey! There's no difference! What's the difference? What's the difference? What? What? There's no difference! There's no difference! What's the difference?"
260,Mind Games,Mind Games,Lennon,Lennon,1973,"We're playing those mind games together Pushing the barriers planting seeds Playing the mind guerrilla Chanting the Mantra peace on earth We all been playing those mind games forever Some kinda druid dudes lifting the veil Doing the mind guerrilla Some call it magic the search for the grail  Love is the answer and you know that for sure Love is a flower you got to let it grow  So keep on playing those mind games together Faith in the future out of the now You just can't beat on those mind guerrillas Absolute elsewhere in the stones of your mind Yeah we're playing those mind games forever Projecting our images in space and in time  Yes is the answer and you know that for sure Yes is surrender you got to let it go  So keep on playing those mind games together Doing the ritual dance in the sun Millions of mind guerrillas Putting their soul power to the karmic wheel Keep on playing those mind games forever Raising the spirit of peace and love (I want you to make love, not war I know you've heard it before)"
261,Tight As,Mind Games,Lennon,Lennon,1973,Just as tight a$ you can make it Hard and slow ain't hard enough Just as tight a$ you can shake it girl Git it on and do your stuff  Tight a$ you can get it Tight a$ got it made Uptight's alright but if ya can't stand the heat You better get back in the shade  Just as tight a$ an Indian rope trick Long and tough ain't hard enough Just as tight a$ a dope fiend's fix my friend Git it up and do your stuff  Tight a$ you can boogie Tight a$ got it made Uptight's alright but if ya can't stand the heat you better get back in the shade  Well tight a$ got me cornered Tight a$ got me laid Tight a$ strut your stuff so tough Just a sweating in the midnight shade
262,Aisumasen (I'm Sorry),Mind Games,Lennon,Lennon,1973,"When I'm down really yin And I don't know what I'm doing Aisumasen Yoko All I had to do was call your name  And when I hurt you and cause you pain Darling I promise I won't do it again  Aisumasen Yoko It's hard enough I know just to feel your own pain  All that I know is just what you tell me All that I know is just what you show me  When I'm down real sanpaku And I don't know what to do Aisumasen Yoko san All I had to do was call your name Yes, all I had to do was call your name"
263,One Day (At A Time),Mind Games,Lennon,Lennon,1973,"You are my weakness, you are my strength Nothing I have in the world makes better sense Cause I'm the fish and you're the sea When we're together or when we're apart There's never a space in between the beat of our hearts Cause I'm the apple and you're the tree  One day at a time is all we do One day at a time is good for you  You are my woman, I am your man Nothing else matters at all, now I understand That I'm the door and you're the key And every morning I wake in your smile Feeling your breath on my face and the love in your eyes Cause you're the honey and I'm the bee  One day at a time is all we do One day at a time is good for us two (you too)"
